Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g)
Meatball Marinara Wrap,790,41,15,0,75,1900,75,7,12,33
Oven Roasted Turkey & Ham Wrap,420,8,2,0,55,1390,55,3,7,30
Oven Roasted Turkey Wrap,410,8,2,1,55,1350,53,4,6,31
Pizza Sub Wrap,710,41,16,1,100,2150,58,3,7,27
Roast Beef Wrap,470,8,2,0,70,1300,57,3,8,41
Rotisserie-Style Chicken Wrap,490,13,3,0,105,1240,53,4,6,39
Steak Wrap with American Cheese,560,18,7,1,120,1550,54,3,6,44
Tuna Wrap,800,51,9,1,80,1070,52,3,6,34
Veggie Delite Wrap,310,6,1,0,0,460,56,4,7,11
Veggie Patty Wrap,640,23,3,0,0,1080,86,19,10,22
#1 The Philly Salad,450,35,10,1,95,1080,13,4,6,24
#10 All-American Club Salad,480,39,11,1,80,1270,13,4,7,22
#11 Subway Club Salad,240,11,6,0,70,1180,14,4,7,24
#15 Titan Turkey Salad,430,33,9,1,75,1050,11,4,5,25
#16 All-Pro Sweet Onion Chicken Salad,300,10,5,0,70,1110,33,4,25,23
#18 The Ultimate B.M.T. Salad,460,36,12,1,75,1410,15,4,7,22
#20 Elite Chicken & Bacon Ranch Salad,490,36,11,1,110,1020,14,5,7,30
#23 The Hotshot Italiano Salad,520,43,15,1,85,1660,15,5,7,21
#30 The Beast Salad,570,43,13,1,115,1770,15,4,7,34
#99 Homerun Ham Salad,440,34,9,1,75,1110,14,4,6,23
B.L.T. Salad,210,14,5,0,35,420,11,4,6,13
Big Hot Pastrami Salad,370,26,8,0,80,1670,14,5,7,24
Black Forest Ham Salad,120,3,1,0,30,570,12,4,6,13
Buffalo Chicken with Grilled Chicken Salad,300,19,4,0,65,1180,13,5,7,20
Cold Cut Combo Salad,160,9,2,0,45,700,10,4,5,12
Grilled Chicken Salad,130,3,1,0,50,280,10,4,5,19
Meatball Marinara Salad,300,19,7,0,35,790,23,6,9,15
Oven Roasted Turkey & Ham Salad,110,3,1,0,25,550,11,4,5,13
Oven Roasted Turkey Salad,110,3,0,0,25,530,10,4,5,14
Pizza Sub Salad,310,23,10,1,60,1200,16,5,8,14
Roast Beef Salad,150,4,1,0,40,500,12,4,6,17
Rotisserie-Style Chicken Salad,150,5,2,0,50,470,10,4,5,18
Steak with American Cheese Salad,210,9,4,0,65,740,12,4,6,22
Tuna Salad,310,24,4,0,40,390,10,4,5,15
Veggie Delite Salad,50,1,0,0,0,75,9,4,5,3
Veggie Patty Salad,220,10,1,0,0,390,26,12,7,9
#1 The Philly Protein Bowl,620,46,16,1,170,1900,13,3,6,43
#10 All-American Club Protein Bowl,690,53,18,1,150,2330,15,3,9,40
#11 Subway Club Protein Bowl,410,21,11,1,135,2280,16,3,9,44
#15 Titan Turkey Protein Bowl,590,42,14,2,130,1890,10,4,5,45
#16 All-Pro Sweet Onion Chicken Protein Bowl,480,18,10,1,140,1870,41,3,33,42
#18 The Ultimate B.M.T. Protein Bowl,730,57,22,1,145,2450,16,3,7,40
#20 Elite Chicken & Bacon Ranch Protein Bowl,760,55,19,1,205,1750,14,4,7,55
#23 The Hotshot Italiano Protein Bowl,860,73,27,2,165,2800,15,3,6,39
#30 The Beast Protein Bowl,"1,080",84,27,2,230,3450,19,3,9,65
#99 Homerun Ham Protein Bowl,620,44,14,1,135,1990,15,3,7,43
B.L.T. Protein Bowl,360,26,9,0,65,760,10,3,6,22
Big Hot Pastrami Protein Bowl,680,52,18,0,165,2670,15,5,7,45
Black Forest Ham Protein Bowl,170,5,2,0,55,1050,12,3,6,21
Buffalo Chicken with Grilled Chicken Protein Bowl,380,21,4,0,115,2080,13,4,7,36
Cold Cut Combo Protein Bowl,260,16,4,0,95,1310,9,3,5,20
Grilled Chicken Protein Bowl,200,4,2,0,100,480,9,3,5,35
Meatball Marinara Protein Bowl,560,37,14,0,75,1560,34,8,13,27
Oven Roasted Turkey & Ham Protein Bowl,160,4,1,0,55,1010,10,3,6,22
Oven Roasted Turkey Protein Bowl,150,4,1,1,50,970,8,3,5,23
Pizza Sub Protein Bowl,610,48,22,1,135,1830,18,5,8,30
Roast Beef Protein Bowl,210,4,1,0,70,920,12,3,7,33
Rotisserie-Style Chicken Protein Bowl,220,8,3,0,105,810,8,3,4,31
Steak (Includes American Cheese) Protein Bowl,380,19,9,1,140,1150,12,4,5,42
Tuna Protein Bowl,550,47,8,1,75,690,8,3,4,26
Veggie Patty Protein Bowl,380,19,2,0,0,700,41,19,8,14
"6"" Bacon, Egg & Cheese",510,27,9,0,270,990,42,2,4,24
"6"" Bacon, Egg & Cheese Flatbread",440,27,8,0,270,820,28,1,3,21
"6"" Black Forest Ham, Egg & Cheese",460,21,7,0,265,1060,43,2,4,24
"6"" Black Forest Ham, Egg & Cheese Flatbread",400,22,6,0,265,900,28,1,3,21
"6"" Egg & Cheese",430,20,6,0,250,810,42,2,3,19
"6"" Egg & Cheese Flatbread",360,21,6,0,250,650,27,1,2,16
"6"" Steak, Egg & Cheese",500,23,7,0,285,1080,43,2,4,29
"6"" Steak, Egg & Cheese Flatbread",430,23,7,0,285,920,28,1,3,26
"Bacon, Egg & Cheese Wrap",850,51,14,0,525,1430,55,2,6,41
"Black Forest Ham, Egg & Cheese Wrap",750,40,10,0,520,1580,56,2,6,40
Egg & Cheese Wrap,690,38,10,0,495,1090,54,2,5,31
"Steak, Egg & Cheese Wrap",800,43,12,1,550,1540,56,2,5,47
Bacon Pizza,780,28,12,1,65,1540,96,4,9,34
Cheese Pizza,700,22,9,1,50,1370,95,4,8,29
Meatball Pizza,810,31,13,1,70,1590,98,5,8,35
Pepperoni Pizza,780,29,12,1,70,1660,96,5,8,33
Ham & Jack Sliders,160,4,2,0,20,550,21,<1,2,10
Italian Spice Sliders,250,15,5,0,30,740,21,<1,2,9
Little Cheesesteak Sliders,180,7,3,0,20,450,21,1,2,8
Turkey Sliders,210,9,3,0,25,570,20,1,2,11
"6"" Artisan Italian Bread",210,2,1,0,0,380,39,1,3,8
"6"" Everything Bagel-Seasoned Bread",210,3,1,0,0,710,38,2,3,8
"6"" Ghost Pepper Bread",240,5,2,0,<5,710,41,2,3,9
"6"" Hearty Multigrain Bread",200,3,0,0,0,350,36,3,4,9
"6"" Honey Oat Bread",210,3,1,0,0,350,39,3,5,9
"6"" Italian Herbs & Cheese Bread",250,5,2,0,10,580,42,2,3,10
"6"" Jalapeno Cheddar Bread",240,5,2,0,<5,500,39,2,3,9
Flatbread,140,3,0,0,0,220,24,<1,2,4
Mini Artisan Italian Bread,140,2,1,0,0,250,26,<1,2,5
Mini Hearty Multigrain Bread,130,2,0,0,0,230,24,2,2,6
Wrap,280,5,1,0,0,440,49,2,3,9
Baja Chipotle Sauce,70,7,1,0,<5,125,1,0,1,0
BBQ Sauce,25,0,0,0,0,115,6,0,5,0
Cheddar Cheese Sauce,30,3,2,0,<5,150,1,0,1,1
Creamy Sriracha Sauce,40,4,1,0,<5,240,2,0,1,0
Frank's RedHot Buffalo Sauce,5,0,0,0,0,350,1,0,0,0
Giardiniera,80,9,2,0,0,340,1,0,1,0
Honey Mustard Sauce,60,5,1,0,<5,125,3,0,3,0
Mayonnaise,100,11,2,0,10,65,0,0,0,0
MVP Parmesan Vinaigrette,60,6,1,0,0,140,1,0,1,0
Olive Oil Blend,45,5,0,0,0,0,0,0,0,0
Olive Oil Blend & Vinegar,45,5,0,0,0,0,0,0,0,0
Peppercorn Ranch Sauce,80,8,2,0,<5,100,1,0,1,0
Roasted Garlic Aioli,80,9,2,0,<5,150,1,0,1,0
Subkrunch,70,5,0,0,0,45,6,0,0,1
Sweet Onion Teriyaki Sauce,30,0,0,0,0,130,7,0,6,0
Yellow Mustard,10,1,0,0,0,170,1,0,0,0
Salt,0,0,0,0,0,160,0,0,0,0
"Avocado, Sliced",45,4,1,0,0,0,2,2,0,1
"Avocado, Smashed",70,6,1,0,0,130,3,2,0,1
Baby Spinach,0,0,0,0,0,5,0,0,0,0
Banana Peppers,0,0,0,0,0,65,0,0,0,0
Black Olives,0,0,0,0,0,25,0,0,0,0
Cucumbers,0,0,0,0,0,0,1,0,0,0
Green Chiles,5,0,0,0,0,95,1,<1,0,0
Jalapeno Peppers,0,0,0,0,0,70,0,0,0,0
Onions,0,0,0,0,0,0,1,0,0,0
Pickles,0,0,0,0,0,160,0,0,0,0
Tomatoes,5,0,0,0,0,0,1,0,1,0
American,40,4,2,0,10,210,1,0,0,2
Garlic Herb Cheese Spread,80,7,5,0,25,150,2,0,1,1
Grated Parmesan,5,0,0,0,0,25,0,0,0,1
Pepper Jack,50,4,3,0,15,240,1,0,0,3
Provolone,50,4,2,0,10,125,0,0,0,4
Shredded Monterey Cheddar,50,5,3,0,15,85,1,0,0,3
"All-American Club Meats (Ham, Turkey, Bacon)",140,8,3,0,45,650,2,0,1,15
Bacon,80,6,3,0,15,170,1,0,1,5
Black Forest Ham,70,2,1,0,30,490,2,0,1,10
Chicken Salad,380,31,6,0,105,800,1,0,1,25
Cold Cut Combo Meats,110,8,1,0,45,620,1,0,1,9
Egg Patty,180,15,4,0,240,220,2,0,0,10
Genoa Salami,70,6,3,0,20,260,1,0,0,3
Grilled Chicken,80,2,2,0,50,210,1,0,1,16
"Grilled Chicken, Buffalo",90,2,1,0,50,900,2,0,1,17
"Grilled Chicken, Sweet Onion Teriyaki Glazed",110,2,1,0,50,350,9,0,8,16
Meatballs,250,18,7,0,35,720,13,2,5,12
Oven Roasted Turkey,60,2,1,0,25,450,0,0,0,11
Pastrami,130,10,3,0,35,470,1,0,1,9
Pepperoni,80,7,3,0,20,290,1,0,0,3
Roast Beef,80,2,1,0,35,420,2,0,2,15
Rotisserie-Style Chicken,90,4,1,0,50,400,0,0,0,15
Steak,110,5,2,0,55,450,2,0,1,17
"Subway Club Meats (Turkey, Ham, Roast Beef)",110,3,1,0,45,690,3,0,2,17
Tuna,250,23,2,0,40,310,0,0,0,12
Veggie Patty,170,9,1,0,0,320,17,8,2,6
Applesauce,70,0,0,0,0,0,16,3,13,0
Chocolate Chip Cookie,210,10,5,0,10,120,30,<1,18,2
Double Chocolate Cookie,210,9,5,0,15,125,29,1,20,2
Oatmeal Raisin Cookie,200,8,4,0,15,110,30,1,16,3
Raspberry Cheesecake Cookie,210,9,5,0,15,115,29,0,16,2
White Chip Macadamia Nut Cookie,210,10,5,0,15,125,28,<1,17,2
Chicken & Cheese Dipper,400,13,5,0,45,960,51,2,4,21
"Churro, Footlong",190,9,4,0,15,135,28,0,8,1
"Cookie, Footlong, Oreo","1,210",54,24,1,85,830,182,8,96,14
"Cookie, Footlong Chocolate Chip","1,330",61,32,1,95,690,181,8,101,14
"Cookie, Footlong Double Chocolate Peppermint","1,330",61,33,1,100,730,177,9,107,15
Doritos Footlong Nachos,550,39,11,1,45,980,38,3,4,13
Doritos Footlong Nachos with Chicken,590,41,11,1,70,1180,38,3,4,20
Doritos Footlong Nachos with Sliced Avocado,590,43,11,1,45,980,40,5,4,13
Doritos Footlong Nachos with Smashed Avocado,600,44,11,1,45,980,41,5,5,13
Doritos Footlong Nachos with Steak,600,41,11,1,75,1200,39,3,5,21
Double Cheese Dipper,470,21,10,1,50,1030,52,2,4,19
Footlong Pretzel,330,10,4,0,15,1340,53,7,9,10
Hash Browns,190,9,3,0,0,600,24,3,1,3
Pepperoni & Cheese Dipper,470,22,9,0,50,1250,51,2,4,17
Broccoli Cheddar Soup,200,13,8,0,45,960,16,<1,7,9
Chicken Noodle Soup,70,3,1,0,15,1160,6,<1,1,7
Loaded Baked Potato with Bacon Soup,200,14,7,0,45,910,17,1,4,9
Chicken & Cheese Dipper,400,13,5,0,45,960,51,2,4,21
"Churro, Footlong",190,9,4,0,15,135,28,0,8,1
"Cookie, Footlong, Oreo","1,210",54,24,1,85,830,182,8,96,14
"Cookie, Footlong Chocolate Chip","1,330",61,32,1,95,690,181,8,101,14
"Cookie, Footlong Double Chocolate Peppermint","1,330",61,33,1,100,730,177,9,107,15
Doritos Footlong Nachos,550,39,11,1,45,980,38,3,4,13
Doritos Footlong Nachos with Chicken,590,41,11,1,70,1180,38,3,4,20
Doritos Footlong Nachos with Sliced Avocado,590,43,11,1,45,980,40,5,4,13
Doritos Footlong Nachos with Smashed Avocado,600,44,11,1,45,980,41,5,5,13
Doritos Footlong Nachos with Steak,600,41,11,1,75,1200,39,3,5,21
Double Cheese Dipper,470,21,10,1,50,1030,52,2,4,19
Footlong Pretzel,330,10,4,0,15,1340,53,7,9,10
Hash Browns,190,9,3,0,0,600,24,3,1,3
Pepperoni & Cheese Dipper,470,22,9,0,50,1250,51,2,4,17
